original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,claim_length,word_count,length_bin,conf_bin
Cricket is incapable of being a sport.,cricket incapable sport,NOT ENOUGH INFO,45927,2,1,REFUTES,False,0.9992692,38,7,6-10,0.9-1.0
Jeff Hardy is a singles wrestler.,jeff hardy single wrestler,NOT ENOUGH INFO,6921,2,1,REFUTES,False,0.99912316,33,6,6-10,0.9-1.0
Melbourne doesn't have a publishing industry.,melbourne doesnt publishing industry,NOT ENOUGH INFO,155664,2,1,REFUTES,False,0.998946,45,6,6-10,0.9-1.0
Outlander is a British-American drama television series.,outlander britishamerican drama television series,SUPPORTS,107538,0,1,REFUTES,False,0.9988739,56,7,6-10,0.9-1.0
The Playboy Club's cast excludes Eddie Cibrian.,playboy club cast excludes eddie cibrian,SUPPORTS,218673,0,1,REFUTES,False,0.99882036,47,7,6-10,0.9-1.0
Hayden Panettiere is an actress.,hayden panettiere actress,SUPPORTS,129,0,1,REFUTES,False,0.99877864,32,5,0-5,0.9-1.0
Johnny Mnemonic is a story in a visual medium.,johnny mnemonic story visual medium,SUPPORTS,70746,0,1,REFUTES,False,0.9987072,46,9,6-10,0.9-1.0
David Carradine was in Italy.,david carradine italy,NOT ENOUGH INFO,139354,2,1,REFUTES,False,0.9986833,29,5,0-5,0.9-1.0
Hawaii is not the least populous state in the US.,hawaii least populous state u,SUPPORTS,10705,0,1,REFUTES,False,0.9985287,49,10,6-10,0.9-1.0
Virgin Comics is incapable of publishing a comic John Woo created.,virgin comic incapable publishing comic john woo created,SUPPORTS,227805,0,1,REFUTES,False,0.9984572,66,11,11-15,0.9-1.0
Game of Thrones (season 3) is a fantasy drama.,game throne season 3 fantasy drama,SUPPORTS,36971,0,1,REFUTES,False,0.99829096,46,9,6-10,0.9-1.0
New York's economic hubs exclude New York City.,new york economic hub exclude new york city,SUPPORTS,63182,0,1,REFUTES,False,0.99821824,47,8,6-10,0.9-1.0
George Clooney is a cartoonist.,george clooney cartoonist,NOT ENOUGH INFO,32502,2,1,REFUTES,False,0.9982141,31,5,0-5,0.9-1.0
Game of Thrones (season 3) had 10 episodes.,game throne season 3 10 episode,SUPPORTS,2894,0,1,REFUTES,False,0.99814665,43,8,6-10,0.9-1.0
Grace Jones is a dancer.,grace jones dancer,REFUTES,180769,1,2,NOT ENOUGH INFO,False,0.9981201,24,5,0-5,0.9-1.0
Hugo Weaving is in a boat.,hugo weaving boat,REFUTES,110742,1,2,NOT ENOUGH INFO,False,0.99805105,26,6,6-10,0.9-1.0
Jake Gyllenhaal is in Zodiac.,jake gyllenhaal zodiac,SUPPORTS,7188,0,2,NOT ENOUGH INFO,False,0.9979976,29,5,0-5,0.9-1.0
Gimli (Middle-earth) is a character.,gimli middleearth character,SUPPORTS,97603,0,1,REFUTES,False,0.997934,36,5,0-5,0.9-1.0
Imagine Dragons' Daniel Platzman is their percussionist.,imagine dragon daniel platzman percussionist,SUPPORTS,59045,0,2,NOT ENOUGH INFO,False,0.9978509,56,7,6-10,0.9-1.0
Iain Glen is a theater actor.,iain glen theater actor,SUPPORTS,171709,0,2,NOT ENOUGH INFO,False,0.99781656,29,6,6-10,0.9-1.0
"Gary Ridgway was born on Monday February 18, 1949.",gary ridgway born monday february 18 1949,SUPPORTS,112943,0,2,NOT ENOUGH INFO,False,0.997778,50,9,6-10,0.9-1.0
Outlander is a drama show.,outlander drama show,SUPPORTS,121968,0,1,REFUTES,False,0.9977749,26,5,0-5,0.9-1.0
Miss Selfridge is a store.,miss selfridge store,SUPPORTS,51963,0,1,REFUTES,False,0.9977609,26,5,0-5,0.9-1.0
Mike Pence did not cut taxes in Indiana.,mike penny cut tax indiana,REFUTES,64937,1,2,NOT ENOUGH INFO,False,0.99766505,40,8,6-10,0.9-1.0
Santorini is in the Aegean Sea.,santorini aegean sea,SUPPORTS,49882,0,1,REFUTES,False,0.9976495,31,6,6-10,0.9-1.0
Mike Pence reduced taxes in Indiana.,mike penny reduced tax indiana,SUPPORTS,97797,0,2,NOT ENOUGH INFO,False,0.99763775,36,6,6-10,0.9-1.0
Azerbaijan does not have an official religion.,azerbaijan official religion,SUPPORTS,9549,0,1,REFUTES,False,0.9975757,46,7,6-10,0.9-1.0
"Led Zeppelin II was released in the United Kingdom on Monday October 31, 1969.",led zeppelin ii released united kingdom monday october 31 1969,SUPPORTS,105761,0,2,NOT ENOUGH INFO,False,0.99752384,78,14,11-15,0.9-1.0
Tiger Woods has struggled to regain his dominant form since his consultation.,tiger wood struggled regain dominant form since consultation,SUPPORTS,115969,0,2,NOT ENOUGH INFO,False,0.99751246,77,12,11-15,0.9-1.0
Extreme environments can be caused by a variety of factors that push equilibrium off.,extreme environment caused variety factor push equilibrium,SUPPORTS,203319,0,2,NOT ENOUGH INFO,False,0.9975096,85,14,11-15,0.9-1.0
Role-playing games should be conducted in silence.,roleplaying game conducted silence,REFUTES,37187,1,2,NOT ENOUGH INFO,False,0.99745876,50,7,6-10,0.9-1.0
Kris Kristofferson collaborated with songwriters from Nashville.,kris kristofferson collaborated songwriter nashville,SUPPORTS,152754,0,2,NOT ENOUGH INFO,False,0.9973779,64,7,6-10,0.9-1.0
Gary Ridgway worked for Kenworth at a truck factory.,gary ridgway worked kenworth truck factory,SUPPORTS,58225,0,2,NOT ENOUGH INFO,False,0.9973348,52,9,6-10,0.9-1.0
Omar Sharif hasn't been cast ever.,omar sharif hasnt cast ever,NOT ENOUGH INFO,197218,2,1,REFUTES,False,0.997311,34,6,6-10,0.9-1.0
Alkaline Trio recorded the EP For Your Lungs Only.,alkaline trio recorded ep lung,SUPPORTS,23405,0,2,NOT ENOUGH INFO,False,0.99725705,50,9,6-10,0.9-1.0
Lilith can be found in texts in the Hebrew-language.,lilith found text hebrewlanguage,SUPPORTS,61176,0,2,NOT ENOUGH INFO,False,0.9971559,52,9,6-10,0.9-1.0
Archie Panjabi won a dog.,archie panjabi dog,NOT ENOUGH INFO,228402,2,1,REFUTES,False,0.9971091,25,5,0-5,0.9-1.0
"Worcester, Massachusetts is 40 mi from a capital.",worcester massachusetts 40 mi capital,SUPPORTS,196956,0,2,NOT ENOUGH INFO,False,0.9971048,49,8,6-10,0.9-1.0
Roald Dahl is a writer.,roald dahl writer,SUPPORTS,7,0,1,REFUTES,False,0.9970409,23,5,0-5,0.9-1.0
Inferno (2016 film) is in the same series as The Da Vinci Code.,inferno 2016 film series da vinci code,SUPPORTS,20041,0,1,REFUTES,False,0.9969656,63,13,11-15,0.9-1.0
