original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,claim_length,word_count,length_bin,conf_bin
The Republic of Zambia is bordered to the south by Zimbabwe.,republic zambia bordered south zimbabwe,SUPPORTS,191685,0,0,SUPPORTS,True,0.6039049,60,11,11-15,0.6-0.7
There is a singer named Miranda Cosgrove.,singer named miranda cosgrove,SUPPORTS,87377,0,0,SUPPORTS,True,0.99215275,41,7,6-10,0.9-1.0
Chris Evans worked for Piccadilly Radio in 2009.,chris evans worked piccadilly radio 2009,NOT ENOUGH INFO,42006,2,2,NOT ENOUGH INFO,True,0.9969313,48,8,6-10,0.9-1.0
Marilyn Monroe is still alive.,marilyn monroe still alive,REFUTES,5643,1,1,REFUTES,True,0.99903214,30,5,0-5,0.9-1.0
Nelson Mandela introduced expansions to video games.,nelson mandela introduced expansion video game,NOT ENOUGH INFO,58048,2,2,NOT ENOUGH INFO,True,0.9976822,52,7,6-10,0.9-1.0
James Wilson is a real person yet to be made into a fictional character.,james wilson real person yet made fictional character,REFUTES,90541,1,1,REFUTES,True,0.9983084,72,14,11-15,0.9-1.0
The Secret Life of Us was filmed in Russia.,secret life u filmed russia,NOT ENOUGH INFO,159275,2,2,NOT ENOUGH INFO,True,0.9906737,43,9,6-10,0.9-1.0
Taylor Sheridan played the role of Tyler Durden .,taylor sheridan played role tyler durden,NOT ENOUGH INFO,118301,2,0,SUPPORTS,False,0.99087334,49,9,6-10,0.9-1.0
There is an mystery film called The Illusionist (2006 film).,mystery film called illusionist 2006 film,SUPPORTS,202379,0,0,SUPPORTS,True,0.9865833,60,10,6-10,0.9-1.0
Neymar was born and raised in Brazil.,neymar born raised brazil,NOT ENOUGH INFO,124898,2,0,SUPPORTS,False,0.45677727,37,7,6-10,0.4-0.5
Bernie Sanders returned for Gilmore Girls: A Year in the Life.,bernie sander returned gilmore girl year life,NOT ENOUGH INFO,151365,2,2,NOT ENOUGH INFO,True,0.9979837,62,11,11-15,0.9-1.0
"William R. Tolbert Jr. was only born on March 13, 1913.",william r tolbert jr born march 13 1913,SUPPORTS,224655,0,0,SUPPORTS,True,0.6373178,55,11,11-15,0.6-0.7
Dialectic forms in philosophy were innovated by Plato,dialectic form philosophy innovated plato,SUPPORTS,42530,0,0,SUPPORTS,True,0.9792625,53,8,6-10,0.9-1.0
Attack the Block is a TV show.,attack block tv show,REFUTES,157344,1,1,REFUTES,True,0.998939,30,7,6-10,0.9-1.0
Nas is an artist.,na artist,SUPPORTS,108428,0,0,SUPPORTS,True,0.9958662,17,4,0-5,0.9-1.0
Meghan McCain is a host and contributor on a news program.,meghan mccain host contributor news program,SUPPORTS,129667,0,0,SUPPORTS,True,0.9925977,58,11,11-15,0.9-1.0
The Suite Life Movie is an action comedy-drama.,suite life movie action comedydrama,NOT ENOUGH INFO,16312,2,1,REFUTES,False,0.89724064,47,8,6-10,0.8-0.9
George Bernard Shaw wrote works.,george bernard shaw wrote work,SUPPORTS,160650,0,0,SUPPORTS,True,0.99526113,32,5,0-5,0.9-1.0
Cristiano Ronaldo was unathletic.,cristiano ronaldo unathletic,REFUTES,104782,1,1,REFUTES,True,0.99925774,33,4,0-5,0.9-1.0
Instagram has videos.,instagram video,SUPPORTS,81315,0,0,SUPPORTS,True,0.9946143,21,3,0-5,0.9-1.0
Faith Evans's fifth album is called Thriller.,faith evans fifth album called thriller,REFUTES,57477,1,0,SUPPORTS,False,0.5857112,45,7,6-10,0.5-0.6
Glenn Close has received zero hall of fame inductions.,glenn close received zero hall fame induction,REFUTES,170544,1,1,REFUTES,True,0.9988115,54,9,6-10,0.9-1.0
Adderall shares a lot of pharmacological properties with the human trace amines.,adderall share lot pharmacological property human trace amine,SUPPORTS,96056,0,2,NOT ENOUGH INFO,False,0.66750985,80,12,11-15,0.6-0.7
Millie Bobby Brown was in a series.,millie bobby brown series,SUPPORTS,184501,0,2,NOT ENOUGH INFO,False,0.948377,35,7,6-10,0.9-1.0
Boston was a center for farming and communication.,boston center farming communication,NOT ENOUGH INFO,31278,2,2,NOT ENOUGH INFO,True,0.99140537,50,8,6-10,0.9-1.0
Archie Panjabi won a dog.,archie panjabi dog,NOT ENOUGH INFO,228402,2,1,REFUTES,False,0.9971091,25,5,0-5,0.9-1.0
Georgia Institute of Technology is a school in Georgia.,georgia institute technology school georgia,SUPPORTS,158481,0,0,SUPPORTS,True,0.989186,55,9,6-10,0.9-1.0
Alex Rodriguez has had an occupation.,alex rodriguez occupation,SUPPORTS,61886,0,0,SUPPORTS,True,0.9960264,37,6,6-10,0.9-1.0
Reuters transmits news in Korean Hangul.,reuters transmits news korean hangul,NOT ENOUGH INFO,129388,2,0,SUPPORTS,False,0.9095593,40,6,6-10,0.9-1.0
Madonna released an album in 1983.,madonna released album 1983,SUPPORTS,55531,0,0,SUPPORTS,True,0.99397063,34,6,6-10,0.9-1.0
Lee Min-ho was born in the 1980s.,lee minho born 1980s,SUPPORTS,49295,0,0,SUPPORTS,True,0.99543285,33,7,6-10,0.9-1.0
Melanie Griffith won a Golden Globe.,melanie griffith golden globe,SUPPORTS,38872,0,2,NOT ENOUGH INFO,False,0.87152505,36,6,6-10,0.8-0.9
Naga Chaitanya worked on a play written by Gautham Menon.,naga chaitanya worked play written gautham menon,NOT ENOUGH INFO,143374,2,2,NOT ENOUGH INFO,True,0.9984541,57,10,6-10,0.9-1.0
Cate Blanchett was nominated for an Academy Award.,cate blanchett nominated academy award,SUPPORTS,2290,0,0,SUPPORTS,True,0.9955882,50,8,6-10,0.9-1.0
Look at My Dab only has one title.,look dab one title,REFUTES,42547,1,1,REFUTES,True,0.9987233,34,8,6-10,0.9-1.0
The Hangover Part III includes actors.,hangover part iii includes actor,SUPPORTS,191940,0,0,SUPPORTS,True,0.9961414,38,6,6-10,0.9-1.0
New Girl was developed by only Johnny Depp.,new girl developed johnny depp,REFUTES,188849,1,1,REFUTES,True,0.9710614,43,8,6-10,0.9-1.0
Philadelphia is in the United States.,philadelphia united state,SUPPORTS,193576,0,0,SUPPORTS,True,0.995272,37,6,6-10,0.9-1.0
Emmanuel Adebayor plays for the Turkish musical İstanbul Başakşehir.,emmanuel adebayor play turkish musical istanbul başakşehir,REFUTES,60779,1,2,NOT ENOUGH INFO,False,0.99328303,68,9,6-10,0.9-1.0
Laurie Hernandez is an American artistic Olympic gymnast.,laurie hernandez american artistic olympic gymnast,SUPPORTS,182160,0,0,SUPPORTS,True,0.8588563,57,8,6-10,0.8-0.9
FC Barcelona has won zero European titles in soccer.,fc barcelona zero european title soccer,REFUTES,127887,1,1,REFUTES,True,0.9990201,52,9,6-10,0.9-1.0
